"Year","Registered_Learners_M_Coursera","Registered_Learners_M_Edx","Course_Enrollments_M_Coursera","Course_Enrollments_M_Edx","Avg_Certificate_Price_USD_Coursera","Avg_Certificate_Price_USD_Edx","Avg_Degree_Price_USD_Coursera","Avg_Degree_Price_USD_Edx","Avg_MasterTrack_Price_USD","Avg_MicroMasters_Price_USD","Avg_MicroBachelors_Price_USD","Completion_Rate_Perc","employer_recognition_us","Avg_Certificate_Price_USD_Combined","Avg_Degree_Price_USD_Combined"
2012,1,0.6,43.14,0.15,0,0,NA,14402.8571428571,"Desconocido",922,166,74,NA,0,14402.8571428571
2013,4.4,0.6,43.14,0.8,49,0,NA,14402.8571428571,"Desconocido",922,166,74,NA,24.5,14402.8571428571
2014,5.2,26.82,43.14,59.1357142857143,49,0,NA,14402.8571428571,"Desconocido",922,166,74,NA,24.5,14402.8571428571
2015,17,26.82,43.14,59.1357142857143,49,50,NA,14402.8571428571,"Desconocido",922,166,74,NA,49.5,14402.8571428571
2016,21,10,43.14,33,50,53,21000,14402.8571428571,"Desconocido",850,166,74,NA,51.5,17701.4285714286
2017,26,14,43.14,50,49,64.4545454545455,27000,9900,"2000–3500",946,166,74,NA,56.7272727272727,18450
2018,37,18,43.14,66,49,100,24150,10000,"2000–3500",946,166,74,NA,74.5,17075
2019,45,24,43.14,59.1357142857143,49,100,29750,10000,"2000–5000",946,166,74,NA,74.5,19875
2020,76,35,50,110,49,166,29750,9920,"3000–4000",850,166,77,NA,107.5,19835
2021,92,42,37,59.1357142857143,49,40,29750,10000,"3000–4000",946,166,73,59,44.5,19875
2022,118,41,34.2,59.1357142857143,49,100,29750,26000,"3500",946,166,73,86,74.5,27875
2023,142,83,45,154,49,100,29750,25000,"3500",946,166,73,NA,74.5,27375
2024,168,26.82,49.5,59.1357142857143,49,64.4545454545455,29750,14402.8571428571,"3500",922,166,74,72,56.7272727272727,22076.4285714286
